Company_Name,Industry,Waste_Type,Location,Monthly_Waste_Generated,Recycling_Capacity,Recycled_Material ,Year
GreenTech Ltd.,Manufacturing,Plastic,"Shenzhen, China",524.97,86,451.47,2022
TechCycle Corp.,Electronics,E-waste,"Berlin, Germany",131.88,53,69.9,2021
TextileRenew,Textile Industry,Fabric,"Rotterdam, Netherlands",152.75,76,116.09,2023
TextileRenew,Textile Industry,Fabric,"Mumbai, India",793.18,74,586.95,2021
EcoBuilders Inc.,Construction,Metal,"São Paulo, Brazil",350.39,69,241.77,2020
RePaper Industries,Paper Mills,Paper,"Detroit, USA",855.92,62,530.67,2024
RePaper Industries,Paper Mills,Paper,"Dhaka, Bangladesh",205.07,52,106.64,2024
TechCycle Corp.,Electronics,E-waste,"Shenzhen, China",611.52,77,470.87,2022
TechCycle Corp.,Electronics,E-waste,"Detroit, USA",333.36,72,240.02,2023
GreenTech Ltd.,Manufacturing,Plastic,"Rotterdam, Netherlands",787.83,73,575.12,2020
ChemRecycle Group,Chemical Industry,Glass,"Dhaka, Bangladesh",299.89,68,203.93,2024
TextileRenew,Textile Industry,Fabric,"Dhaka, Bangladesh",581.5,56,325.64,2022
EcoBuilders Inc.,Construction,Metal,"Mumbai, India",736.06,68,500.52,2024
EcoBuilders Inc.,Construction,Metal,"Shenzhen, China",743.28,87,646.65,2020
AutoGreen LLC,Automotive,Rubber,"Berlin, Germany",195.26,86,167.92,2024
TextileRenew,Textile Industry,Fabric,"Rotterdam, Netherlands",756.52,87,658.17,2023
SustainFood Co.,Food Processing,Organic,"São Paulo, Brazil",103.3,67,69.21,2023
AutoGreen LLC,Automotive,Rubber,"Dhaka, Bangladesh",494.62,71,351.18,2023
TextileRenew,Textile Industry,Fabric,"São Paulo, Brazil",759.37,51,387.28,2022
GreenTech Ltd.,Manufacturing,Plastic,"Detroit, USA",511.28,72,368.12,2020
ChemRecycle Group,Chemical Industry,Glass,"Dhaka, Bangladesh",483,55,265.65,2020
RePaper Industries,Paper Mills,Paper,"Dhaka, Bangladesh",865.99,82,710.11,2020
RePaper Industries,Paper Mills,Paper,"Detroit, USA",656.25,57,374.06,2022
EcoBuilders Inc.,Construction,Metal,"Dhaka, Bangladesh",315.71,57,179.95,2023
RePaper Industries,Paper Mills,Paper,"Rotterdam, Netherlands",698.24,80,558.59,2023
ChemRecycle Group,Chemical Industry,Glass,"Berlin, Germany",732.29,88,644.42,2024
TextileRenew,Textile Industry,Fabric,"Dhaka, Bangladesh",103.55,61,63.17,2021
